id,gmtModified,commentorId,userNickName,content,mark,schoolName,termId,status,courseId
5650461,1658850170886,1505478898,2021信管,老师开始说的带不带spoc都可以，不影响最后成绩，但现在期末我们一部分同学的成绩没有录上，这学期的课程学分也没得到，课程群就已经被解散了，希望明年选修的同学不要和我们一样学了一年还没成绩，吸取一下教训吧(=_=),1.0,,1467090442,1,1001738001
5627402,1656905037292,1510118813,2021530603陈梦霞,没有带spoc，竟然没有录入成绩，呜呜呜呜,1.0,,1467090442,1,1001738001
6800897,1709779202277,1035247803,K0079,我想对之前评论这门课程的部分郑州大学本校学生说，MOOC平台也已经在【公告和讨论区等很多地方】都【多次】发了提醒大家选校内SPOC的，自己没有看到个别同学甚至还骂老师，做得确实不恰当。请对老师多一点善意吧。 不是只有spoc发了提醒。自己选的课程多上点心，不上心再提醒也看不见。,5.0,,1472369469,1,1001738001
452057,1544784268033,1147185116,亮晶晶的木子李,我听了王教授娓娓动听地讲解，收获很多，对唐诗更加喜爱了，说明唐诗在唐代科举制度中起着举足轻重的作用。,4.0,,1003443002,1,1001738001
6698223,1704247159583,1534379725,202247000418任梦,2024年1月3日，因没spoc没过，我只能说，老师你在spoc里通知大家要在spoc上课，不是脱裤子放屁吗？本来就没加入spoc，哪怕在学习通发个消息都看到了呀，也没群聊，什么通知都看不到，屁颠屁颠做完了结果不是Spoc，我是真的服好吧，明年再来,1.0,,1471068522,1,1001738001
6010971,1673592571305,1483126864,徐宏龑信息安全202178030640,没spoc，没成绩,1.0,,1468605466,1,1001738001
5646634,1659170856632,1503887875,202121000603陈红艳,本校的可别来这个，没有spoc，一学期白学了，没成绩,1.0,,1467090442,1,1001738001
3390558,1589280888509,1411810837,mooc15205926888431282,通过这门课的学习，我了解了很多科举背后的故事，比如唐朝的士子在考试落榜后也会心情低落，甚至有抑郁倾向。这些都是平时很难了解到的内容，这让我认识到了一个更加完整、现实的唐朝，也让我认识到了古老中国的人情世故。所以非常感谢王士祥老师，也非常感谢《科举与唐诗》这门课，我在这节课中受益匪浅！,4.0,,1451984499,1,1001738001
6588043,1702215629283,1482960051,二班28郑家靖,你这选修课测试截止时间是真脑瘫，妈的,1.0,,1471068522,1,1001738001
6505575,1700096882432,1534479193,22物联李逸涵202278040616,课程作业时长太短，容易忘记 ,4.0,,1471068522,1,1001738001
5674289,1661135973015,1510371577,夏目漱口hhh,不知道该怎么说，实在让人无语。,1.0,,1467090442,1,1001738001
5473342,1652600582711,1492087546,郑州大学聂紫彤202184160422,我在这里收获巨大,5.0,,1467090442,1,1001738001
5308691,1647355000203,1484189041,柳茏轩,学习唐诗就是在品读文化,4.0,,1467090442,1,1001738001
5305972,1647094123130,1503375714,冯继昌202124100605,很喜欢这门课程，能够学习很多知识,5.0,,1467090442,1,1001738001
4955747,1631865670709,1142339561,昙萱,在这里可以学到想学的任何知识，真的很好！,5.0,,1464963471,1,1001738001
161195,1524480994540,1029443456,物联16116062030120,我超满意的,5.0,,1002788026,1,1001738001
155140,1524052765970,1029438584,物联16116062030131,白居易的成功来源于所处的朝代，宋代总体上政治清明、经济富足、文化繁荣、社会安定。还有自身作为诗人与官场的责任。 ,5.0,,1002788026,1,1001738001
7788232,1760163492281,1580663662,mooc195631409752565603,让我很好理解科举和唐诗知识,5.0,,1473336456,1,1001738001
7655113,1750536980367,1590778656,20202110102096汉语文学2班游清超,感觉非常好,5.0,,1474203454,1,1001738001
7563234,1748157049276,1560048801,_胡帅202347000209,好好好好好 ,5.0,,1474203454,1,1001738001
7523400,1745392868183,1579198009,微信用户k1230737328473509990,课程非常有意思,5.0,,1474203454,1,1001738001
7470264,1744158921638,1584059217,郑州大学赵恒霖土木工程202484230324,对学生的成长与对中国唐诗的理解都很有帮助，非常有意义！,5.0,,1474203454,1,1001738001
7425238,1740131662659,1577424299,韩子阁,时间灵活，方式新颖，特别好。,5.0,,1474203454,1,1001738001
7288618,1734276423383,1482610446,Dk1264020213924803430,哈哈哈哈哈,5.0,,1473336456,1,1001738001
7152523,1730029564591,1560059690,姚昌辉信息安全专业刘静波202378030310,非常好的课程,5.0,,1473336456,1,1001738001
7156312,1729915346667,1554026908,学员c72akada152787141935369457,好，，，，,5.0,,1473336456,1,1001738001
