id,name,teacherName,schoolName,enrollCount,startTime,endTime,currentTermId,type,channelId
1449335163,领导科学与领导力,彭忠益,中南大学,20,1772676000000,1782833400000,1476750592,306,3004
1465994166,心理健康教育课程与设计,易芳,江西师范大学,28,1772676000000,1782833400000,1476739595,306,3007
1207423804,民法总论,李磊,上海对外经贸大学,14,1772762400000,1784561400000,1476746583,306,3005
1472545168,适老化设计,汪颖,浙江理工大学,30,1772762400000,1783353600000,1476727578,306,34001
1206626831,第二语言习得,闻亭,北京语言大学,143,1772676000000,1782831600000,1476731573,306,3005
1466035162,高等代数I,张杰,北京理工大学,16,1772676000000,1782660600000,1476753589,306,3003
1002533007,电子线路基础,王蓉,东南大学,42,1772676000000,1783697400000,1476733589,306,3003
1205698810,古代汉语(上),陈鸿,福建师范大学,46,1772762400000,1783695600000,1476733585,306,3005
1461514170,爵士乐演奏基础—布鲁斯音乐,王劲,四川音乐学院,22,1772762400000,1782835200000,1476728579,306,34001
1002916004,生物化学,葛振英,河南大学,18,1772672400000,1784129400000,1476739576,306,3008
1464040180,高分子合成工艺学,柴春鹏,北京理工大学,13,1772676000000,1783438200000,1476741563,306,3003
1205921805,社会心理学,童梅,西安交通大学,219,1772676000000,1782833400000,1476751567,306,3007
1003368017,生活中的社会学,童梅,西安交通大学,26,1772676000000,1782833400000,1476756553,306,3005
1472565173,光纤通信,周雪芳,杭州电子科技大学,26,1772676000000,1782833400000,1476741558,306,3003
1474450162,自我发现之旅：世界文学名篇解析,卢迎伏,四川大学,66,1772676000000,1781794800000,1476730574,306,3005
1002603073,中国近现代史纲要,王艳娟,浙江理工大学,847,1772762400000,1783179000000,1476756537,306,3005
1207499802,刑事诉讼法学,杨帆,广东外语外贸大学,14,1772589600000,1783870200000,1476741554,306,3005
1003366003,仪器分析,王瑞勇,郑州大学,20,1772676000000,1785252600000,1476746554,306,3003
1206626830,沟通与人生,刘平青,北京理工大学,192,1772503200000,1786375800000,1476733554,306,3004
1206676841,医学检验整合课程-临床检验报告的正确打开方式,谢轶,四川大学,58,1772676000000,1782833400000,1476736546,306,108001
1473657167,营销理论与实践,卢亭宇,西北工业大学,18,1772503200000,1788103800000,1476738547,306,3004
1449990181,外国文学经典导读,雷武锋,西北大学,20,1772676000000,1783697400000,1476737535,306,3005
1473684162,中医诊断学,于晓飞,滨州医学院,279,1772762400000,1782833400000,1476748552,306,3008
1465992167,信息安全数学基础,熊虎,电子科技大学,44,1772443800000,1782833400000,1476732556,306,108001
1449487166,钢琴即兴伴奏,蔡常青,广东外语外贸大学,56,1772676000000,1782748800000,1476733551,306,34001
1464291163,波谱学,马忠华,华中农业大学,63,1772589600000,1782833400000,1476732553,306,3003
1449945194,有机化学(上),卢忠林,北京师范大学,48,1772589600000,1783524600000,1476744539,306,3003
1461540169,营养学,李颖,哈尔滨医科大学,348,1772672400000,1783092600000,1476732551,306,3008
1206448846,交通工程学,王玉萍,西安建筑科技大学,33,1772676000000,1782833400000,1476744536,306,3003
1449795173,材料综合实验,陈秋龙,上海交通大学,9,1772503200000,1784561400000,1476739546,306,3003
1473584161,中药分析,原忠,沈阳药科大学,45,1772762400000,1783265400000,1476744533,306,3008
